# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 454.095
1410000 677.853
1420000 780.35
1430000 968.292
1440000 1057.61
1450000 1111.85
1460000 1239.72
1470000 1272.39
1480000 1422.11
1490000 1433.6
1500000 1514.13
1510000 1557.97
1520000 1659.55
1530000 1685.5
1540000 1692.75
1550000 1855.66
1560000 2003.51
1570000 2044.62
1580000 2005.7
1590000 2043.55
1600000 2174.38
1610000 2146.49
1620000 2197.74
1630000 2386.85
1640000 2447.52
1650000 2491.89
1660000 2496.04
1670000 2375.05
1680000 2582.94
1690000 2677.67
1700000 2989.92
1710000 2907.51
1720000 2927.02
1730000 2857.35
1740000 2963.44
1750000 3135.7
1760000 3018.42
1770000 2941.9
1780000 2912.35
1790000 2971.18
1800000 2906.91
1810000 3093.58
1820000 3296.34
1830000 3406.99
1840000 3421.43
1850000 3303.6
1860000 3394.83
1870000 3475.25
1880000 3625.79
1890000 3517.66
1900000 3496.49
1910000 3812.71
1920000 3648.06
1930000 3654.45
1940000 3730.16
1950000 3676.32
1960000 3434.25
1970000 3479.65
1980000 3524.23
1990000 3484.34
2000000 3685.09
2010000 3701.75
2020000 3679.84
2030000 3609.21
2040000 3712.23
2050000 3658.45
2060000 3657.71
2070000 3631.63
2080000 3599.44
2090000 3714.27
2100000 3906.97
2110000 4026.75
2120000 3961.2
2130000 3924.56
2140000 4013.02
2150000 4110.75
2160000 3979.48
2170000 4025.94
2180000 4052.64
2190000 4094.78
2200000 4056.33
2210000 4080.16
2220000 4252.15
2230000 4176.05
2240000 4193.18
2250000 4342.67
2260000 4287.94
2270000 4229.99
2280000 4295.45
2290000 4205.06
2300000 4206.96
2310000 4206.42
2320000 4269.28
2330000 4312.65
2340000 4345.39
2350000 4457.76
2360000 4485.55
2370000 4390.55
2380000 4280.34
2390000 4156.2
2400000 4186.92
2410000 4221.66
2420000 4417.79
2430000 4457.2
2440000 4649.04
2450000 4670.61
2460000 4606.9
2470000 4621.04
2480000 4631.99
2490000 4551.6
2500000 4596.88
2510000 4553.72
2520000 4531.34
2530000 4631.01
2540000 4573.59
2550000 4665.62
2560000 4767.27
2570000 4804.3
2580000 4666.13
2590000 4798.07
2600000 4722.18
2610000 4788.39
2620000 4861.83
2630000 4816.37
2640000 4871.44
2650000 4943.35
2660000 4807.52
2670000 4675.26
2680000 4601.26
2690000 4774.6
2700000 4612.77
2710000 4620.2
2720000 4553.59
2730000 4506.25
2740000 4724.36
2750000 4725.33
2760000 4693.09
2770000 4706.62
2780000 4729.89
2790000 4887.73
2800000 4886.44
2810000 4929.59
2820000 5107.31
2830000 5094.88
2840000 5049.64
2850000 4960.18
2860000 5182.18
2870000 5092.9
2880000 5203.97
2890000 5104.54
2900000 5029.06
2910000 5258.73
2920000 5332.09
2930000 5477.97
2940000 5457.15
2950000 5432.97
2960000 5414.06
2970000 5489.14
2980000 5560.56
2990000 5745.07
3000000 5780.07
3010000 5798.35
3020000 5766.23
3030000 5772.22
3040000 5909.85
3050000 5938.63
3060000 5936.52
3070000 6082.97
3080000 6373.54
3090000 6481.17
3100000 6638.06
3110000 6818.7
3120000 6733.2
3130000 6517.56
3140000 6614.11
3150000 6608.29
3160000 6537.85
3170000 6719.83
3180000 6648.34
3190000 6664.52
3200000 6707.95
3210000 6741.33
3220000 6756.85
3230000 7004.75
3240000 7006.03
3250000 7185.02
3260000 7282.77
3270000 7286.85
3280000 7305.2
3290000 7517.49
3300000 7645.18
3310000 7607.9
3320000 7565.49
3330000 7607.47
3340000 7801.75
3350000 7697.49
3360000 7602.19
3370000 7630.98
3380000 7439.25
3390000 7490.04
3400000 7433.59
3410000 7508.7
3420000 7699.28
3430000 7665.57
3440000 7649.98
3450000 7743.44
3460000 7544.43
3470000 7570.4
3480000 8030.86
3490000 8113.47
3500000 8078.19
3510000 8018.8
3520000 7878.06
3530000 7818.59
3540000 7892.82
3550000 7928.36
3560000 7934.65
3570000 8147.83
3580000 8074.8
3590000 7852.24
3600000 7924.15
3610000 8093.92
3620000 7927.28
3630000 8030.55
3640000 8017.64
3650000 8082.47
3660000 7978.34
3670000 8085.61
3680000 8302.95
3690000 8171.44
3700000 8262.88
3710000 8152.96
3720000 8180.71
3730000 8450.51
3740000 8540.14
3750000 8652.19
3760000 8728.06
3770000 8593.69
3780000 8407.84
3790000 8712.89
3800000 8783.7
3810000 8951.24
3820000 9071.23
3830000 9115.1
3840000 9003.7
3850000 9039.33
3860000 9105.55
3870000 9066.33
3880000 9096.69
3890000 9062.85
3900000 9237.42
3910000 9342.54
3920000 9666.66
3930000 9595.24
3940000 9456.29
3950000 9517.73
3960000 9544.04
3970000 9428.59
3980000 9535.29
3990000 9599.98
4000000 9571.85
4010000 9517.47
4020000 9646.27
4030000 9683.67
4040000 9887.04
4050000 9689.25
4060000 9505.39
4070000 9744.35
4080000 9733.62
4090000 9729.04
4100000 9712.7
4110000 9678.16
4120000 9612.67
4130000 9564.24
4140000 9625.12
4150000 9583.64
4160000 9496.29
4170000 9552.23
4180000 9466.66
4190000 9249.94
4200000 9291.48
4210000 9394.4
4220000 9559.82
4230000 9553.13
4240000 9491.76
4250000 9618.91
4260000 9730.91
4270000 9772.82
4280000 9786.81
4290000 9694.39
4300000 9540.58
4310000 9547.52
4320000 9678.47
4330000 9981.23
4340000 9710.33
4350000 9631.08
4360000 9371.71
4370000 9421.88
4380000 9560.11
4390000 9595.77
4400000 9597.32
4410000 9549.67
4420000 9831.6
4430000 9934.86
4440000 9770.61
4450000 9833.42
4460000 9778.19
4470000 9914.33
4480000 9905.38
4490000 10101.1
4500000 10328.9
4510000 10287.8
4520000 10306.7
4530000 10329.9
4540000 10198.6
4550000 10071.2
4560000 10144.8
4570000 10306
4580000 10138
4590000 9933.21
4600000 9841.63
4610000 9934.26
4620000 10157.2
4630000 10367.8
4640000 10265.5
4650000 10417.7
4660000 10409.8
4670000 10555.7
4680000 10791.6
4690000 10800.3
4700000 10692.7
4710000 10495.2
4720000 10476.7
4730000 10473.9
4740000 10507
4750000 10519.9
4760000 10664.9
4770000 10618.1
4780000 10436.8
4790000 10402
4800000 10200.3
4810000 10193.7
4820000 10390.3
4830000 10281.8
4840000 10310.1
4850000 10296.1
4860000 10433.7
4870000 10343.9
4880000 10547.6
4890000 10464.5
4900000 10693.3
4910000 10940.9
4920000 10777
4930000 10637.4
4940000 10415.5
4950000 10592.2
4960000 10798.5
4970000 10776.5
4980000 10844.9
4990000 10786.2
5000000 10512.2
5010000 10332.5
5020000 10239.7
5030000 9992.08
5040000 9984.81
5050000 10015.8
5060000 10154.2
5070000 10224.6
5080000 10173.3
5090000 9999.72
5100000 10222.7
5110000 10559.6
5120000 10509.9
5130000 10376.5
5140000 10457.4
5150000 10493.6
5160000 10679.4
5170000 10710
5180000 10716.3
5190000 10798.6
5200000 10755.6
5210000 10528.1
5220000 10682.2
5230000 10742.8
5240000 10786.8
5250000 10780.9
5260000 10774.4
5270000 10644
5280000 10833.1
5290000 10859.5
5300000 11118.2
5310000 11102.2
5320000 11066.6
5330000 10883.9
5340000 10702.6
5350000 10754.8
5360000 10902.2
5370000 11134
5380000 11291.4
5390000 11228.4
5400000 11335.7
5410000 11120.1
5420000 10974.1
5430000 11072
5440000 11550
5450000 11616.6
5460000 11339.6
5470000 11431.3
5480000 11807.4
5490000 11801.8
5500000 11487.6
5510000 11684.8
5520000 11762.6
5530000 11959.9
5540000 12087.3
5550000 12090.7
5560000 11897.4
5570000 11811.9
5580000 11721.4
5590000 11690.8
5600000 11756.9
5610000 11682.8
5620000 11855.2
5630000 12139.4
5640000 12237.4
5650000 12247.1
5660000 12459.3
5670000 12413.3
5680000 12267.1
5690000 12304.2
5700000 11997.4
5710000 11945.1
5720000 12049.9
5730000 12370.5
5740000 12255.8
5750000 12189.7
5760000 12060.7
5770000 12040.8
5780000 12211.9
5790000 12493.6
5800000 12650.9
5810000 12923.6
5820000 13251.6
5830000 13200.4
5840000 13441.1
5850000 13193.7
5860000 12846.9
5870000 12704.5
5880000 12445.2
5890000 12579.2
5900000 12597.9
5910000 12461.3
5920000 12565.3
5930000 12515.1
5940000 12594.3
5950000 12734.8
5960000 12732.8
5970000 12738.5
5980000 12979.2
5990000 12990.5
6000000 13137.8
6010000 12915.2
6020000 13134
6030000 13373.4
6040000 13343.1
6050000 13334.5
6060000 13305.8
6070000 13565.4
6080000 13482.8
6090000 13531.9
6100000 13370.1
6110000 13195.3
6120000 13458.1
6130000 13315
6140000 13161.4
6150000 13230.7
6160000 13204.6
6170000 13193.7
6180000 13330.4
6190000 13437.5
6200000 13484.5
6210000 13664.8
6220000 13885.6
6230000 14029.7
6240000 13865.5
6250000 13982.5
6260000 13869
6270000 13794.5
6280000 13754.7
6290000 13701.8
6300000 13885.5
6310000 13637.1
6320000 13701.2
6330000 13704.5
6340000 13773.9
6350000 13813.4
6360000 13868.2
6370000 13793.3
6380000 13947.9
6390000 13855.9
6400000 13892.2
6410000 14246.5
6420000 14076.3
6430000 13995.4
6440000 13845.3
6450000 13834.7
6460000 13856
6470000 13820.2
6480000 13857.3
6490000 13867.4
6500000 13869.7
6510000 13790.2
6520000 13938.8
6530000 14064.8
6540000 14236.8
6550000 13840.5
6560000 13861.3
6570000 13666.7
6580000 13710
6590000 13732.6
6600000 13650.2
6610000 13715.6
6620000 14260.4
6630000 14093.9
6640000 13870
6650000 14108.6
6660000 14042.8
6670000 14067.5
6680000 14024.6
6690000 13785.9
6700000 13990.7
6710000 13704.5
6720000 13732.9
6730000 13754.1
6740000 13674.8
6750000 13575.6
6760000 13369.9
6770000 13312.1
6780000 13345.2
6790000 13323.8
6800000 13328.8
6810000 13283.9
6820000 13219.4
6830000 13394
6840000 13712.7
6850000 13848.2
6860000 13848.4
6870000 13731.8
6880000 13978.9
6890000 14132.9
6900000 14195
6910000 14403.4
6920000 14202.4
6930000 13761.5
6940000 13666.1
6950000 13541.5
6960000 13537.3
6970000 13309.1
6980000 13441
6990000 13544.9
7000000 13277.1
7010000 13069.6
7020000 13278.1
7030000 13276.9
7040000 13467.5
7050000 13439.8
7060000 13578.5
7070000 13430.8
7080000 13438.9
7090000 13700.8
7100000 14233
7110000 14099.8
7120000 14082.9
7130000 13858.8
7140000 13936.9
7150000 14136.6
7160000 14221.7
7170000 14521
7180000 14553.9
7190000 14668.3
7200000 14707.9
7210000 14641.9
7220000 14611.5
7230000 14902.6
7240000 14791.7
7250000 14970.9
7260000 14976.1
7270000 15150.4
7280000 15131.3
7290000 15146.1
7300000 15369.8
7310000 15276.6
7320000 14954.3
7330000 14889.4
7340000 14897.8
7350000 15213.2
7360000 15269
7370000 15281
7380000 15309.4
7390000 15493.6
7400000 15553.4
7410000 15406
7420000 15414.1
7430000 15577.1
7440000 15667.4
7450000 15603.5
7460000 15479.2
7470000 15609.1
7480000 15678.2
7490000 15788.9
7500000 15917.2
7510000 15926.7
7520000 15961.3
7530000 15819.4
7540000 16026.9
7550000 15919.4
7560000 15961.2
7570000 16090.3
7580000 16447.2
7590000 16486.1
7600000 16517.2
7610000 16597.6
7620000 16875.4
7630000 16626.4
7640000 16620.1
7650000 16575.5
7660000 16822.2
7670000 16937.3
7680000 16927
7690000 16725.9
7700000 16981.3
7710000 17110.4
7720000 17087.3
7730000 16933.6
7740000 17039.1
7750000 17105.7
7760000 17306.2
7770000 17477.1
7780000 17589.1
7790000 17759.3
7800000 17854.2
7810000 18075.5
7820000 18451
7830000 18719.6
7840000 18733.1
7850000 18700.4
7860000 18678.2
7870000 18555.7
7880000 18511.9
7890000 18438.1
7900000 18505.9
7910000 18640
7920000 18769.6
7930000 18643.7
7940000 18541.2
7950000 18588.9
7960000 18687.3
7970000 18859.6
7980000 19055
7990000 19114.3
8000000 19410.7
8010000 19583.4
8020000 19507
8030000 19285.1
8040000 19196.5
8050000 19148.2
8060000 19295.7
8070000 19416.7
8080000 19272.8
8090000 19320
8100000 19233
8110000 18859.5
8120000 19107.6
8130000 19148.9
8140000 19165.7
8150000 19271.3
8160000 19447.7
8170000 19660
8180000 20104.4
8190000 20375.9
8200000 20185.2
8210000 20110.2
8220000 20005.6
8230000 19741
8240000 20018.1
8250000 20286.3
8260000 20215
8270000 20008.2
8280000 20233.7
8290000 20305
8300000 20525.3
8310000 20453
8320000 20216.4
8330000 20223.6
8340000 19857.1
8350000 20045
8360000 20120.9
8370000 20131.1
8380000 20040.5
8390000 19826.8
8400000 19823.6
8410000 19900
8420000 20230.7
8430000 20095.1
8440000 20122.5
8450000 20495.5
8460000 20646.3
8470000 20533.7
8480000 20620.7
8490000 20500.5
8500000 20737.2
8510000 20644.2
8520000 20573.9
8530000 21066
8540000 21100.1
8550000 21316.5
8560000 21660.6
8570000 21182.3
8580000 21327.5
8590000 21139.1
8600000 20999.4
8610000 20921.8
8620000 21132.2
8630000 21236.2
8640000 21092.4
8650000 21349.2
8660000 21258.7
8670000 21037.8
8680000 20827.5
8690000 20836.6
8700000 21069.8
8710000 21142.8
8720000 21336.6
8730000 21192.9
8740000 21351.6
8750000 21014.1
8760000 20912.8
8770000 21174.1
8780000 21227.4
8790000 21541.7
8800000 21465.8
8810000 21238.7
8820000 21109.4
8830000 21106.2
8840000 21419.8
8850000 21418
8860000 21344.5
8870000 21722.7
8880000 21520.4
8890000 21594.7
8900000 21679.7
8910000 21547.8
8920000 21595.3
8930000 21448.6
8940000 21575.5
8950000 22054.9
8960000 22107.6
8970000 21869.8
8980000 21553.8
8990000 21995.1
9000000 21988.2
9010000 22125.8
9020000 21776.5
9030000 21612.6
9040000 21793.3
9050000 21929.1
9060000 21876.7
9070000 21872.6
9080000 21662.5
9090000 21629
9100000 21702.6
9110000 21731.8
9120000 21766.8
9130000 21763.3
9140000 22117
9150000 22015.9
9160000 22461.6
9170000 22273.1
9180000 22114.7
9190000 22041.8
9200000 22184.7
9210000 22094.3
9220000 22338.4
9230000 22264.4
9240000 22279.6
9250000 22287.4
9260000 22313.8
9270000 22276.1
9280000 22262.4
9290000 22137.3
9300000 22378.7
9310000 22394.8
9320000 22590.4
9330000 22640.2
9340000 22579.2
9350000 22627.6
9360000 22395.1
9370000 22455.8
9380000 22655.6
9390000 22776.2
9400000 22914.4
9410000 23351.7
9420000 23722.4
9430000 23815.5
9440000 23833.2
9450000 23928.5
9460000 23950
9470000 23894
9480000 23760.6
9490000 23894.3
9500000 23652.4
9510000 23653.3
9520000 23798.6
9530000 23891.6
9540000 24427.2
9550000 24273.7
9560000 24370
9570000 24407.6
9580000 24409
9590000 24418.2
9600000 24238.8
9610000 24477.7
9620000 24626.8
9630000 24826.3
9640000 24905.4
9650000 24602.1
9660000 24197
9670000 24172.6
9680000 23907
9690000 23938.1
9700000 24085.3
9710000 24196.5
9720000 24242.9
9730000 24160.8
9740000 24178.3
9750000 24371.7
9760000 24386.4
9770000 24329.3
9780000 24309.7
9790000 24592.4
9800000 24771.1
9810000 24665.5
9820000 24582.3
9830000 24654.4
9840000 24706.9
9850000 24660
9860000 24675.3
9870000 24676.1
9880000 24138
9890000 24034.5
9900000 24186.1
9910000 24359.6
9920000 24338.1
9930000 24326.5
9940000 24479.7
9950000 24238.3
9960000 23951.1
9970000 24208.6
9980000 24244.2
9990000 24034.2
10000000 24010
10010000 23954.5
10020000 24091.1
10030000 24092.3
10040000 24187.1
10050000 24531.7
10060000 24757.9
10070000 24969.4
10080000 25056.7
10090000 25330.8
10100000 25571.1
10110000 25447
10120000 25608.3
10130000 25660.5
10140000 25859.4
10150000 25914.9
10160000 26267.8
10170000 26240.6
10180000 26532.1
10190000 26303
10200000 26254.7
10210000 26282
10220000 26384.6
10230000 26463.3
10240000 26382.5
10250000 26688.3
10260000 26564.7
10270000 26578
10280000 26670.8
10290000 26589.4
10300000 26595.7
10310000 26261.9
10320000 26082.8
10330000 25876.4
10340000 25996.6
10350000 26398.1
10360000 26152.5
10370000 26303.4
10380000 26434
10390000 26710.4
10400000 26670.9
10410000 26422
10420000 26533.9
10430000 26531.4
10440000 26868.7
10450000 26820.6
10460000 26875
10470000 26897.5
10480000 27265.5
10490000 27188.3
10500000 26974.5
10510000 26830.9
10520000 26651.6
10530000 26492.2
10540000 26076.7
10550000 26315.5
10560000 26356.9
10570000 26294.2
10580000 26112.5
10590000 25874
10600000 25613.8
10610000 25843
10620000 26249.2
10630000 26640.1
10640000 26618.3
10650000 26552.7
10660000 26591
10670000 26583.7
10680000 26484
10690000 26713.3
10700000 26499.3
10710000 26678
10720000 26644.5
10730000 26605.1
10740000 27148.2
10750000 27302.6
10760000 26786.6
10770000 26724
10780000 26701.4
10790000 26967.7
10800000 26934.1
10810000 26401.4
10820000 26349.9
10830000 26494.2
10840000 26332.5
10850000 26507.3
10860000 26554.2
10870000 26712
10880000 26532.9
10890000 26468.9
10900000 26371.5
10910000 26441.1
10920000 26423.2
10930000 26450.1
10940000 26516.1
10950000 26958.7
10960000 26393.5
10970000 25945.2
10980000 26143.2
10990000 26073
11000000 26044.1
11010000 26143.6
11020000 26308.1
11030000 26841.7
11040000 26883.4
11050000 26488
11060000 26230.1
11070000 26469.1
11080000 26627
11090000 26604.4
11100000 26469.3
