# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 611.583
1410000 858.536
1420000 1033.46
1430000 1208.37
1440000 1507.59
1450000 1676.66
1460000 1688.76
1470000 1671.57
1480000 1656.21
1490000 1747.7
1500000 1840.27
1510000 1983.57
1520000 2221.27
1530000 2259.41
1540000 2272.25
1550000 2215.6
1560000 2295.25
1570000 2341.86
1580000 2569.79
1590000 2667.49
1600000 2816.26
1610000 2935.34
1620000 3010.57
1630000 3300.41
1640000 3350.25
1650000 3210.32
1660000 3352.05
1670000 3504.04
1680000 3682.23
1690000 3513.24
1700000 3607.6
1710000 3900
1720000 3856.11
1730000 3760.04
1740000 3601.73
1750000 3670
1760000 3795
1770000 3881.56
1780000 4002.46
1790000 4114.52
1800000 4317.41
1810000 4511.53
1820000 4643.06
1830000 4497.36
1840000 4428.34
1850000 4316.9
1860000 4515.57
1870000 4528.75
1880000 4514.88
1890000 4210.04
1900000 4252.56
1910000 4365.14
1920000 4353.65
1930000 4544.65
1940000 4671.14
1950000 4877.26
1960000 4657.43
1970000 4639.94
1980000 4846.37
1990000 5035.58
2000000 4904.85
2010000 4910.95
2020000 5103.44
2030000 5160.59
2040000 5012.6
2050000 5172.5
2060000 5123.7
2070000 5038.11
2080000 5266.5
2090000 5126.06
2100000 5071.84
2110000 5212.29
2120000 5346.76
2130000 5358.9
2140000 5469.71
2150000 5567.82
2160000 5738.84
2170000 5470.6
2180000 5422.15
2190000 5406.93
2200000 5398.37
2210000 5380.09
2220000 5379.42
2230000 5550.83
2240000 5371.95
2250000 5498.29
2260000 5620.7
2270000 5427.75
2280000 5328.96
2290000 5426.7
2300000 5487.86
2310000 5690.74
2320000 5800.93
2330000 5840.05
2340000 5913.47
2350000 5999.66
2360000 6128.73
2370000 6293.09
2380000 6318.63
2390000 6477.89
2400000 6588.18
2410000 6411.42
2420000 6642.03
2430000 7029.82
2440000 6731.58
2450000 6814.07
2460000 6794.21
2470000 6786.95
2480000 6714.88
2490000 6874.23
2500000 6697.14
2510000 6707.73
2520000 6916.09
2530000 7146.45
2540000 7269.82
2550000 7419.6
2560000 7394.68
2570000 7137.93
2580000 7111.38
2590000 7065.18
2600000 7213.42
2610000 7201.17
2620000 7356.69
2630000 7132.75
2640000 7188.31
2650000 7050.74
2660000 7081.56
2670000 7024.96
2680000 7096.38
2690000 6721.95
2700000 6906.51
2710000 6926.3
2720000 6968.56
2730000 6828.6
2740000 6869.71
2750000 6786.62
2760000 6785.09
2770000 6831.61
2780000 7037.1
2790000 7020.54
2800000 7089.99
2810000 7180.92
2820000 7221.8
2830000 7312.5
2840000 7603.18
2850000 7649.28
2860000 7549.76
2870000 7450.35
2880000 7450.44
2890000 7433.28
2900000 7467.01
2910000 7398.58
2920000 7307.81
2930000 7283.5
2940000 7230.88
2950000 7370.3
2960000 7592.9
2970000 7654.18
2980000 7813.93
2990000 7846.64
3000000 7820.32
3010000 7934.28
3020000 8173.5
3030000 8175.72
3040000 8024.91
3050000 8003.36
3060000 8097.01
3070000 8264.54
3080000 8512.57
3090000 8657.62
3100000 8822.17
3110000 9076.11
3120000 8990.75
3130000 9088.85
3140000 8984.61
3150000 9075.37
3160000 9314.68
3170000 9226.83
3180000 9215.59
3190000 9316.83
3200000 9284.66
3210000 9538.23
3220000 9699.2
3230000 9544.84
3240000 9780.61
3250000 9497.71
3260000 9792.76
3270000 9325.11
3280000 9299.58
3290000 9288.66
3300000 9324.25
3310000 9399.06
3320000 9330.31
