# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 920.312
1410000 1464.51
1420000 2002.19
1430000 2329.83
1440000 2769.03
1450000 2902.74
1460000 2925.84
1470000 3069.93
1480000 3150.85
1490000 3248.4
1500000 3480.53
1510000 3617.65
1520000 3612.94
1530000 3715.59
1540000 4061.96
1550000 4456.59
1560000 4656.97
1570000 5248.31
1580000 5427.78
1590000 5422.29
1600000 5652.99
1610000 5949.52
1620000 6471.26
1630000 6818.52
1640000 6981.86
1650000 6787.86
1660000 7005.73
1670000 7311.06
1680000 7300.12
1690000 7978.13
1700000 7853.81
1710000 8224.21
1720000 8393.13
1730000 8815.73
1740000 8717.92
1750000 8703.89
1760000 8708.77
1770000 8964.97
1780000 9077.08
1790000 9358.6
1800000 9677.49
1810000 9975.35
1820000 10046
1830000 10267.1
1840000 10321.8
1850000 10193
1860000 10444.8
1870000 10480.6
1880000 10639.4
1890000 11041.4
1900000 10849.7
1910000 10704.2
1920000 10508.6
1930000 10579.5
1940000 10797.3
1950000 11004.6
1960000 10907.7
1970000 11369.5
1980000 11847.4
1990000 12615.5
2000000 13058.8
2010000 13003.5
2020000 13394.9
2030000 13620.1
2040000 13363.4
2050000 13332
2060000 13412.4
2070000 13841.2
2080000 13824
2090000 13509.9
2100000 13638.2
2110000 13703.9
2120000 14051.7
2130000 14112.8
2140000 14204.1
2150000 14099.6
2160000 14257.8
2170000 14964.4
2180000 15509.4
2190000 15526.1
2200000 15976.9
2210000 16269
2220000 16791.8
2230000 16786.1
2240000 17232.2
2250000 17445.8
2260000 17943.5
2270000 18664.2
2280000 19367.7
2290000 19569
2300000 19672.1
2310000 19883.1
2320000 19888.4
2330000 20542.2
2340000 21576.9
2350000 21757.6
2360000 21625.4
2370000 21634
2380000 21965.2
2390000 22101.4
2400000 22711.9
2410000 23455.5
2420000 24862.8
2430000 25584.4
2440000 25705.2
2450000 25850.6
2460000 26366.6
2470000 26858.6
2480000 27295.4
2490000 27669.6
2500000 27846.6
2510000 27460.9
2520000 27552.2
2530000 27843.2
2540000 28146
2550000 28535.7
2560000 28277.2
2570000 28359.4
2580000 28373.3
2590000 28839.5
2600000 29239.2
2610000 29488
2620000 29123.8
2630000 29783.3
2640000 30543.4
2650000 30877.1
2660000 31213.9
2670000 31702.2
2680000 32016
2690000 32642.1
2700000 32842.8
2710000 32272.7
2720000 32713.9
2730000 32690.6
2740000 32690.1
2750000 32902.6
2760000 33363.7
2770000 33493.8
2780000 33730
2790000 34043.4
2800000 34632.1
2810000 34090.9
2820000 34814.4
2830000 35023.3
2840000 35633.2
2850000 35736.9
2860000 36026.6
2870000 36349.9
2880000 36528.6
2890000 36498.9
2900000 36733.2
2910000 37098.9
2920000 37735.1
2930000 37826.2
2940000 38526.1
2950000 38886
2960000 37993.1
2970000 38073.3
2980000 38266.8
2990000 38745
3000000 38706.8
3010000 39125.1
3020000 39042
3030000 38579.5
3040000 39300.7
3050000 38673.6
3060000 39073
3070000 40069.8
3080000 39991.8
3090000 40200.5
3100000 41459.1
3110000 41213.7
3120000 41926.1
3130000 43296.4
3140000 45162.5
3150000 45409.5
3160000 46329.3
3170000 46950.2
3180000 47574.1
3190000 47750.6
3200000 47689.6
3210000 47548.6
3220000 48621.8
3230000 48859.7
3240000 50136.1
3250000 50316.5
3260000 51051.1
3270000 50858.4
3280000 51631.9
3290000 52014.6
3300000 52328.7
3310000 52208.6
3320000 52369.4
3330000 52913.1
3340000 53601
3350000 53603.8
3360000 54000.4
3370000 54807.5
3380000 55289.4
3390000 55971.4
3400000 56265.1
3410000 56270.8
3420000 56700.8
3430000 57131.2
3440000 57379.7
3450000 57039.9
3460000 56463.6
3470000 57044.9
3480000 57043.2
3490000 57709.7
3500000 56359.8
3510000 55981.5
3520000 56238.6
3530000 56831.1
3540000 56276.6
3550000 56222.2
3560000 56228.4
3570000 56818.1
3580000 57407.3
3590000 57472.4
3600000 58103.8
3610000 58533.6
3620000 59432.6
3630000 60703.7
3640000 61612.6
3650000 60662.4
3660000 60953.5
3670000 61335.8
3680000 61927.5
3690000 62510.9
3700000 62556.5
3710000 62087.8
3720000 61404.9
3730000 61778.5
3740000 61238
3750000 61707.7
3760000 61939.6
3770000 61208.7
3780000 62071.7
3790000 61730
3800000 61684.8
3810000 62295.3
3820000 62895.3
3830000 63497
3840000 64132.7
3850000 63360.8
3860000 63685.8
3870000 63958.7
3880000 65454.9
3890000 66033.4
3900000 66128.7
3910000 67071.7
3920000 67612.2
3930000 67469.6
3940000 67603.1
3950000 67536
3960000 67997.7
3970000 67774
3980000 67871.7
3990000 69095.5
4000000 69608.2
4010000 69869.1
4020000 70111
4030000 70587.2
4040000 70127.9
4050000 70384.4
4060000 71233
4070000 71844.7
4080000 71507.3
4090000 71490.5
4100000 71398.1
4110000 72336.3
4120000 72620.9
4130000 73432.8
4140000 73760.1
4150000 74511.3
4160000 73560.8
4170000 73471.4
4180000 74966.8
4190000 75096.7
4200000 75833.3
4210000 76053.6
4220000 75970.1
4230000 75924.4
4240000 76433.1
4250000 78236.7
4260000 78571.6
4270000 78242.4
4280000 78795.7
4290000 79010.1
4300000 79735.5
4310000 80011.2
4320000 80643.7
4330000 80206.3
4340000 80577
4350000 80870.1
4360000 81192.7
4370000 81340
4380000 81682.9
4390000 81827
4400000 82110.3
4410000 82988.8
4420000 83062.8
4430000 83195.1
4440000 83705
4450000 81489.4
4460000 79541.2
4470000 78467.1
4480000 78190.8
4490000 77333.6
4500000 76222.5
4510000 76073.7
4520000 75921.5
4530000 77051.9
4540000 76246.4
4550000 75712
4560000 76234
4570000 77609.6
4580000 78646.6
4590000 78408.3
4600000 78111
4610000 78665.6
4620000 78977.8
4630000 78645.2
4640000 80330.2
4650000 81366.1
4660000 81103.4
4670000 80822.1
4680000 81195.8
4690000 80388.8
4700000 80709.8
4710000 81407.5
4720000 81238.8
4730000 82876.3
4740000 83680.4
4750000 84469.8
4760000 85100.2
4770000 85339.2
4780000 85754.5
4790000 85664.2
4800000 85521.8
4810000 86218.1
4820000 86180.5
4830000 85358.7
4840000 86784.7
4850000 85657.5
4860000 85427.1
4870000 86281.9
4880000 85986.8
4890000 85569.7
4900000 85420.6
4910000 85633
4920000 85862.2
4930000 85613.8
4940000 85483.2
4950000 85519.7
4960000 85541.3
4970000 85037.9
4980000 86711.1
4990000 87418.2
5000000 87424.5
5010000 87704.8
5020000 88600.8
5030000 89413.2
5040000 90262.5
5050000 91449.8
5060000 91794.6
5070000 91474.3
5080000 91142.5
5090000 89684.5
5100000 89489.7
5110000 89017.5
5120000 89315.5
5130000 89682.6
5140000 90794.4
5150000 90237.4
5160000 90458.8
5170000 91281.4
5180000 92017.1
5190000 92591.7
5200000 94359.9
5210000 94521.4
5220000 95700.9
5230000 96689.6
5240000 97210.5
5250000 98147.4
5260000 98157.1
5270000 98329.7
5280000 98937.8
5290000 98768.2
5300000 100417
5310000 102030
5320000 101122
5330000 101100
5340000 100319
5350000 101357
5360000 102335
5370000 102873
5380000 102630
5390000 102946
5400000 102758
5410000 104134
5420000 105949
5430000 106065
5440000 105506
5450000 105768
