# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 726.297
1410000 1192.36
1420000 1468.31
1430000 1706.64
1440000 1767.41
1450000 1826.77
1460000 2093.7
1470000 2258.59
1480000 2409.02
1490000 2508.34
1500000 2631.57
1510000 2686.27
1520000 2837.93
1530000 3133.66
1540000 3258.94
1550000 3448.87
1560000 3517.6
1570000 3771.06
1580000 4106.37
1590000 4257.18
1600000 4452.67
1610000 4533.38
1620000 4574.62
1630000 4645.25
1640000 4741.62
1650000 4799.13
1660000 4795.2
1670000 4986.86
1680000 5355.11
1690000 5650.06
1700000 5848.28
1710000 5736.8
1720000 5917.57
1730000 6213.35
1740000 6352.25
1750000 6338.28
1760000 6547.23
1770000 6460.17
1780000 6436.34
1790000 6639.05
1800000 6717.38
1810000 6581.24
1820000 6588.93
1830000 6370.97
1840000 6561.81
1850000 6610.83
1860000 6918.75
1870000 7161.94
1880000 7112.45
1890000 7155.22
1900000 7198.71
1910000 7543.9
1920000 8109.1
1930000 8076.23
1940000 7608.24
1950000 7897.64
1960000 8372.1
1970000 8444.52
1980000 8581.87
1990000 8925
2000000 9084.42
2010000 9108.58
2020000 9369.55
2030000 9373.07
2040000 9505.77
2050000 9429.4
2060000 9145.06
2070000 9376.54
2080000 9488.63
2090000 10323.5
2100000 10551.6
2110000 10695.8
2120000 10990
2130000 11301.4
2140000 11604.6
2150000 11477.9
2160000 11166.6
2170000 11286.9
2180000 11816.5
2190000 12122.5
2200000 12193.6
2210000 12050.1
2220000 12231.3
2230000 12088.9
2240000 12219.8
2250000 12196.1
2260000 12223.6
2270000 12306.9
2280000 12242
2290000 12663.2
2300000 13205.7
2310000 13747.4
2320000 14243.4
2330000 14175.9
2340000 14418.4
2350000 14204.7
2360000 14100.3
2370000 14241.9
2380000 14231.5
2390000 14442.8
2400000 15167.2
2410000 15235.4
2420000 15435.9
2430000 15613.6
2440000 15713.5
2450000 15922.8
2460000 16156.6
2470000 16488.3
2480000 16804.1
2490000 17214.4
2500000 17456.5
2510000 18031.3
2520000 17675.4
2530000 18042.1
2540000 18197.9
2550000 18371.7
2560000 18491.2
2570000 18517.3
2580000 18087.2
2590000 18079.2
2600000 18274.1
2610000 19043.3
2620000 19314.5
2630000 19326
2640000 19299.7
2650000 19305.9
2660000 19198.1
2670000 18587.8
2680000 18382.2
2690000 18827.2
2700000 18847
2710000 18819.1
2720000 18326.6
2730000 18720.7
2740000 18370.8
2750000 18159.4
2760000 17811.4
2770000 17690
2780000 17802.7
2790000 17228.2
2800000 16888.9
2810000 17162.1
2820000 17004.9
2830000 17070.2
2840000 17111.7
2850000 17703.9
2860000 17988.9
2870000 18036.8
2880000 18501.1
2890000 18537.9
2900000 19457.4
2910000 19949.5
2920000 20145.3
2930000 20324.1
2940000 20238
2950000 20739.4
2960000 20937.4
2970000 21125.8
2980000 21127.5
2990000 21282.7
3000000 21698.9
3010000 22161.4
3020000 22327.4
3030000 22377.1
3040000 22685
3050000 22169.9
3060000 22403.6
3070000 22718
3080000 22943.4
3090000 23086.7
3100000 23045.7
3110000 23276
3120000 24044.5
3130000 25115.2
3140000 25347.8
3150000 25374.2
3160000 26160.5
3170000 26048.2
3180000 26568.2
3190000 27040.3
3200000 27372.1
3210000 27446.2
3220000 27480.4
3230000 27313.2
3240000 27725.8
3250000 28064.8
3260000 28207.2
3270000 28616.5
3280000 28827.8
3290000 29338.4
3300000 30004.6
3310000 30039.6
3320000 30392.7
3330000 30745.9
3340000 31160.2
3350000 31857.4
3360000 31798.7
3370000 31696.5
3380000 31683.1
3390000 31916.2
3400000 32506.1
3410000 32792
3420000 32082.7
3430000 32330.7
3440000 32252.1
3450000 32009.9
3460000 31805.2
3470000 32378.8
3480000 32330.7
3490000 32092.4
3500000 31742.1
3510000 31846.5
3520000 31358.4
3530000 30872.8
3540000 30686.6
3550000 30679.9
3560000 30426.9
3570000 30296.9
3580000 30011.5
3590000 30172.7
3600000 30292.5
3610000 30102.7
3620000 30678.5
3630000 31067.2
3640000 31450
3650000 31007.3
3660000 31239.1
3670000 31302.9
3680000 30771.8
3690000 30869.7
3700000 31231.1
3710000 31195.8
3720000 30712.7
3730000 30881.3
3740000 31712.8
3750000 31816.7
3760000 31900.6
3770000 32292
3780000 32902.7
3790000 32575.1
3800000 31834.2
3810000 31895.5
3820000 32508.5
3830000 32643.5
3840000 33089.6
3850000 33021
3860000 33307.7
3870000 33572.7
3880000 33067.7
3890000 32452
3900000 31888.2
3910000 32519.5
3920000 32490.5
3930000 32711.3
3940000 33064.7
3950000 33647.9
3960000 34538.1
3970000 34109.5
3980000 34842
3990000 35435.4
4000000 35718.9
4010000 36452.3
4020000 36556.8
4030000 36569.5
4040000 36463.9
4050000 36409.2
4060000 36110.8
4070000 36156.5
4080000 36019.8
4090000 36501.4
4100000 35786.8
4110000 34965.3
4120000 35589.3
4130000 35867.5
4140000 35977.8
4150000 35978.7
4160000 36576.2
4170000 37263.7
4180000 37400.9
4190000 37305
4200000 37044.9
4210000 36914.1
4220000 36775.2
4230000 37244.6
4240000 37191.1
