# Time-averaged data for fix msd
# TimeStep c_msd[4]
4970000 16106.5
4980000 16484.7
4990000 16546.9
5000000 16909.1
5010000 17077.5
5020000 17128.5
5030000 16898.9
5040000 17264.4
5050000 17344.5
5060000 17679.8
5070000 17865.8
5080000 17815
5090000 18148.7
5100000 17959.4
5110000 17970.8
5120000 18107.3
5130000 18568.6
5140000 18879.9
5150000 19126
5160000 19278.2
5170000 19144
5180000 19090.9
5190000 19331.1
5200000 19618.8
5210000 19483.6
5220000 19625.3
5230000 19409.7
5240000 19615.9
5250000 19237.7
5260000 19436.2
5270000 19117.3
5280000 19109.5
5290000 19251.5
5300000 19605.8
5310000 19439.2
5320000 19503.4
5330000 19200.3
5340000 19082.1
5350000 19055.3
5360000 19030.5
5370000 18915.4
5380000 18887
5390000 19025.7
5400000 19082.3
5410000 19078.2
5420000 19097.8
5430000 19342.8
5440000 19258.3
5450000 19279.7
5460000 19350.5
5470000 19096.4
5480000 19212.6
5490000 19472.7
5500000 19377.8
5510000 19098.7
5520000 19245.5
5530000 19356.6
5540000 19070.3
5550000 18715.6
5560000 18688.1
5570000 18766.8
5580000 18530.9
5590000 18612.9
5600000 18770.7
5610000 18746.1
5620000 18778.9
5630000 18722.3
5640000 18674.2
5650000 18692.4
5660000 18400.8
5670000 17986.9
5680000 17897.2
5690000 18113.7
5700000 18027.2
5710000 18026.8
5720000 18074.4
5730000 18291.9
5740000 18585.3
5750000 18500.8
5760000 18214.6
5770000 18014.3
5780000 17955.4
5790000 17974.8
5800000 18202.3
5810000 18513.1
5820000 18974.6
5830000 19335.4
5840000 19381.5
5850000 19596.6
5860000 19594.6
5870000 19945.5
5880000 19773.1
5890000 19787.7
5900000 19400.4
5910000 19498
5920000 19605.5
5930000 20167.5
5940000 20226.4
5950000 20500.2
5960000 20579.3
5970000 20249.9
5980000 20736
5990000 21086.1
6000000 20877.9
6010000 20884.3
6020000 21172.7
6030000 21185.2
6040000 21289
6050000 21488.3
6060000 21417.2
6070000 21635.2
6080000 21503.7
6090000 21743.2
6100000 21491.6
6110000 21787.5
6120000 21872.8
6130000 22003.8
6140000 22054.8
6150000 22119.1
6160000 22066.5
6170000 22015.3
6180000 22548.5
6190000 22455.2
6200000 22992.1
6210000 23022.6
6220000 23062.8
6230000 22837.7
6240000 22806.4
6250000 22974.3
6260000 23099.8
6270000 23376.5
6280000 23304.1
6290000 23522.1
6300000 23643.4
6310000 23365.2
6320000 23376.7
6330000 23773
6340000 23985
6350000 23506.4
6360000 23421.3
6370000 23743.7
6380000 23681.6
6390000 23882.6
6400000 23983.5
6410000 24010.1
6420000 24085.5
6430000 24113.3
6440000 23712.7
6450000 23465.3
6460000 23515
6470000 23648.7
6480000 23898.8
6490000 23928.1
6500000 23925.1
6510000 23551.6
6520000 23534.7
6530000 23548.7
6540000 23707.6
6550000 23551.6
6560000 23728.3
6570000 23683.4
6580000 23861.4
6590000 23721.3
6600000 24219.9
6610000 23959.5
6620000 23881.8
6630000 24532.8
6640000 24718.1
6650000 24540.5
6660000 24431.7
6670000 24501.9
6680000 24259.6
6690000 24539.3
6700000 25062.3
6710000 24967.9
6720000 25044.9
6730000 25125.4
6740000 24782.8
6750000 24718.7
6760000 24727.7
6770000 24864.9
6780000 25288.4
6790000 25389.9
6800000 25285.2
6810000 25534.6
6820000 25598.3
6830000 25414.8
6840000 25923.3
6850000 26034.8
6860000 26094.4
6870000 25994.7
6880000 26039.1
6890000 26066.1
6900000 26360.4
6910000 26315.5
6920000 26124.1
6930000 25914.4
6940000 25790.9
6950000 26003
6960000 26097.9
6970000 26247.7
6980000 26190.8
6990000 26514.6
7000000 26814.1
7010000 26887.8
7020000 27092.6
7030000 27190.8
7040000 27320.5
7050000 26959.7
7060000 27030.3
7070000 26925.7
7080000 27302.8
7090000 27168.4
7100000 27440.4
7110000 27336.8
7120000 27358.3
7130000 27553.9
7140000 27267.8
7150000 27953.9
7160000 27874.4
7170000 27986.3
7180000 27821.5
7190000 28106.5
7200000 28385.9
7210000 29094.2
7220000 28887.7
7230000 28524.8
7240000 29023.6
7250000 28897
7260000 29261.6
7270000 29133.8
7280000 28957.3
7290000 28970.2
7300000 28834.6
7310000 29022.2
7320000 29151.5
7330000 29192.7
