# Time-averaged data for fix msd
# TimeStep c_msd[4]
1400000 555.161
1410000 782.211
1420000 967.069
1430000 1121.25
1440000 1144.63
1450000 1296.55
1460000 1477.5
1470000 1521.32
1480000 1471.84
1490000 1565.59
1500000 1685.2
1510000 1681.44
1520000 1842.05
1530000 1730.51
1540000 1864.28
1550000 2009.36
1560000 1985.45
1570000 2056.29
1580000 2243.55
1590000 2380.48
1600000 2515.27
1610000 2374.54
1620000 2499.37
1630000 2602.39
1640000 2804.14
1650000 2922.86
1660000 3066.05
1670000 3180.61
1680000 3233.79
1690000 3205.3
1700000 3319.08
1710000 3292.97
1720000 3369.13
1730000 3343.5
1740000 3450.16
1750000 3395
1760000 3292.95
1770000 3386.35
1780000 3526.45
1790000 3811.44
1800000 3770.92
1810000 3904.64
1820000 4040.4
1830000 4269.21
1840000 4247.76
1850000 4214.08
1860000 4136.77
1870000 4125.44
1880000 4181.02
1890000 4229.26
1900000 4096.17
1910000 4323.59
1920000 4485.44
1930000 4592.95
1940000 4882.99
1950000 5249.3
1960000 5451.11
1970000 5550.28
1980000 5454.78
1990000 5474.59
2000000 5285.44
2010000 5169.22
2020000 5176.35
2030000 5330.19
2040000 5281.56
2050000 5276.45
2060000 5536.58
2070000 5790.9
2080000 5962.55
2090000 5840.36
2100000 5844.08
2110000 5883.91
2120000 5969.46
2130000 6227.6
2140000 6278.57
2150000 6365.36
2160000 6528.97
2170000 6865.27
2180000 7182.02
2190000 7163.75
2200000 6815.82
2210000 6765.81
2220000 7026.53
2230000 7205.45
2240000 7137.16
2250000 7091.56
2260000 7007.4
2270000 7104.85
2280000 7067.71
2290000 7337.81
2300000 7438.53
2310000 7508.19
2320000 7578.18
2330000 7923.81
2340000 8056.8
2350000 8098.99
2360000 8340.03
2370000 8033.67
2380000 8155.71
2390000 8096.09
2400000 8138.1
2410000 8051.01
2420000 8047.51
2430000 8104.6
2440000 8124.82
2450000 8166.74
2460000 8593.72
2470000 8587.67
2480000 8702.73
2490000 8509.38
2500000 8488.75
2510000 8250.81
2520000 8499.62
2530000 8996.28
2540000 9171.09
2550000 9246.16
2560000 9353.24
2570000 9319.14
2580000 9175.64
2590000 8978.89
2600000 9049.34
2610000 9269.33
2620000 9263.46
2630000 9300.64
2640000 9327.39
2650000 9555.26
2660000 9449.76
2670000 9479.17
2680000 9536.94
2690000 9590.61
2700000 9549.47
2710000 9854.37
2720000 9793.81
2730000 9646.64
2740000 9792.68
2750000 9997.32
2760000 9898.27
2770000 10103.3
2780000 10252.6
2790000 10167
2800000 10307.2
2810000 10573
2820000 10609.4
2830000 11041.3
2840000 11220.7
2850000 11133.3
2860000 11109.6
2870000 11170.2
2880000 11411.4
2890000 11419.9
2900000 11231.5
2910000 11324.2
2920000 11227.5
2930000 11176.6
2940000 11327.5
2950000 11513.8
2960000 11627.1
2970000 11483.6
2980000 11422.8
2990000 11518
3000000 11379.7
3010000 11454.6
3020000 11367.6
3030000 11212.2
3040000 11057.3
3050000 11308.2
3060000 11294
3070000 11305.6
3080000 11547.7
3090000 11392.7
3100000 11284
3110000 11181
3120000 11293.8
3130000 11186.4
3140000 11309.9
3150000 11469.9
3160000 11482.8
3170000 11363.2
3180000 11363.4
3190000 11718.4
3200000 11899.2
3210000 12048.9
3220000 11997.9
3230000 12044.9
3240000 11953
3250000 12041.1
3260000 11936.8
3270000 11891.7
3280000 11769.2
3290000 11638.3
3300000 11724.4
3310000 11794
3320000 12180.8
3330000 12295.6
3340000 11968.4
3350000 12159
3360000 12249.7
3370000 12506.8
3380000 12812.3
3390000 13306.8
3400000 13326.2
3410000 13193.1
3420000 13105.8
3430000 13166.4
3440000 13553.3
3450000 13467.4
3460000 13585.8
3470000 13459.8
3480000 13321.6
3490000 13167.6
3500000 13573
3510000 13797.8
3520000 13664.6
3530000 13457.5
3540000 13491.7
3550000 13672.1
3560000 13873.6
3570000 13680.7
3580000 13633.5
3590000 13496.7
3600000 13746.9
3610000 13486.2
3620000 13459.1
3630000 13578.2
3640000 13617.8
3650000 13547.9
3660000 13649.4
3670000 13626
3680000 13656.4
3690000 13630
3700000 13938.1
3710000 13855.4
3720000 13721.4
3730000 13872.8
3740000 13992.2
3750000 13992.5
3760000 14237.5
3770000 14088
3780000 13863.8
3790000 13833.2
3800000 13943.3
3810000 13989.6
3820000 14008
3830000 13982.2
3840000 14243
3850000 14266.4
3860000 13966.1
3870000 14108.2
3880000 14503.9
3890000 14929.2
3900000 15366.8
3910000 15323.8
3920000 14854.4
3930000 14673
3940000 14845.4
3950000 14654.1
3960000 14521
3970000 14607.2
3980000 14698.5
3990000 14747.7
4000000 14640.9
4010000 14624.5
4020000 14784.4
4030000 14937.1
4040000 15012.7
4050000 15099
4060000 15134.1
4070000 14947.3
4080000 14944
4090000 14843.5
4100000 15098.3
4110000 15034.1
4120000 14965.1
4130000 14771.6
4140000 14527.5
4150000 14592.6
4160000 14490.9
4170000 14629.7
4180000 14634.1
4190000 14481.5
4200000 14705
4210000 14587.2
4220000 14634
4230000 14732.7
4240000 14838.8
4250000 14851.2
4260000 14701.9
4270000 14879.9
4280000 14851.5
4290000 14969.9
4300000 15031.7
4310000 15118.8
4320000 15204.8
4330000 15045.3
4340000 15050
4350000 15179.7
4360000 15365.4
4370000 15299.4
4380000 14961.2
4390000 15243.1
4400000 15458.6
4410000 15635
4420000 15533.3
4430000 15543.8
4440000 15775.8
4450000 15810.5
4460000 15722
