Temperature,ConcLow,ConcHigh
255 ,  0.4123273836693793 ,  5.3203180863095204e-05
245 ,  0.4773244248012279 ,  3.4948090909091168e-06
270 ,  0.3290817933234244 ,  0.013720010087195122
260 ,  0.3902137759131542 ,  4.6394652518292617e-05
235 ,  0.5246173658366701 ,  4.052384055794931e-08
230 ,  0.5500490074340975 ,  4.882818092687895e-14
280 ,  0.26379082179257984 ,  0.029210674490541665
265 ,  0.36485964319725106 ,  0.0029309608714642855
275 ,  0.3001280859977043 ,  0.012176833409175
240 ,  0.5042997177208298 ,  5.897864594191012e-10
250 ,  0.4513285150983331 ,  0.00010438419500000016
