Temperature,ConcLow,ConcHigh
240 ,  0.4999954390956274 ,  9.765620840628183e-14
250 ,  0.4482300215001578 ,  6.583241608374889e-06
280 ,  0.2565489780521015 ,  0.012784729818083332
230 ,  0.5509504616164483 ,  4.882800619750559e-14
265 ,  0.3568539522600285 ,  7.329826715116285e-05
275 ,  0.2910014628825556 ,  0.00954226968322561
270 ,  0.3389397228751585 ,  0.000859024461122093
260 ,  0.3956094753892092 ,  4.8754264130434756e-05
235 ,  0.5297048737255573 ,  3.152835513913555e-10
255 ,  0.42353065605718276 ,  8.149519529252273e-06
245 ,  0.47643369988297696 ,  2.3301648936140204e-08
