Temperature,ConcLow,ConcHigh
270 ,  0.31565393303421274 ,  0.004198652373732143
260 ,  0.3795527080935533 ,  4.413811787544276e-05
235 ,  0.520245399195869 ,  7.654856430581394e-08
255 ,  0.41057741697235633 ,  1.0381839293478342e-05
245 ,  0.4658887338369467 ,  1.7279196354166197e-06
240 ,  0.4913953699582515 ,  4.8827996194745864e-14
250 ,  0.43478075285086715 ,  1.0520499197333907e-05
230 ,  0.5449709741452224 ,  4.882813328686363e-14
280 ,  0.2630785364167817 ,  0.02464086127566875
265 ,  0.36358453765308724 ,  4.765382413372095e-05
275 ,  0.30008404705971237 ,  0.00591233009227381
