Temperature,ConcLow,ConcHigh
265 ,  0.3474739587784091 ,  0.0002946565908352271
275 ,  0.27295901744450096 ,  0.007141286803125
280 ,  0.24375413857768458 ,  0.01477221247206576
230 ,  0.534149035658545 ,  1.8550746354207276e-06
240 ,  0.49200837757805 ,  9.76562251946844e-14
250 ,  0.431540867427598 ,  4.323490108695755e-06
255 ,  0.4070323702998701 ,  0.0002683823546195652
245 ,  0.46395665870968283 ,  3.2695781915061335e-07
235 ,  0.5163415426891513 ,  2.4226081230940733e-09
270 ,  0.3100065304826095 ,  0.0015154555380952376
260 ,  0.37867735990317897 ,  0.004874109753711111
