Temperature,ConcLow,ConcHigh
235 ,  0.531852235521364 ,  4.8828106660021244e-14
270 ,  0.3237723362758789 ,  0.0006591297671428569
260 ,  0.38824649266014605 ,  0.0015024049427777779
255 ,  0.41137366015182986 ,  2.5602438206521643e-05
245 ,  0.46851963515124706 ,  2.2706091030874514e-08
240 ,  0.5058333037285745 ,  1.0429899804679523e-07
250 ,  0.44862487681618046 ,  5.39037553723399e-06
265 ,  0.3593503174691062 ,  0.00045717674162499986
275 ,  0.30295056257561165 ,  0.006277205437339284
280 ,  0.2595739498059525 ,  0.013175519690769234
