Temperature,ConcLow,ConcHigh
235 ,  0.5235671673196193 ,  1.2207005004773982e-14
270 ,  0.3321424661657143 ,  0.00013386784743902425
260 ,  0.3882942154367587 ,  5.696780290116276e-05
255 ,  0.4148026026918722 ,  1.6587954659090873e-05
245 ,  0.481506650113874 ,  4.8828129318731304e-14
240 ,  0.4930983254484346 ,  2.4414148872569645e-14
250 ,  0.44574816165090697 ,  2.1066818000000073e-05
265 ,  0.34890825305366724 ,  9.227494860975617e-05
275 ,  0.2917144688518451 ,  0.006488653090928747
280 ,  0.2663412956224643 ,  0.01652217497280625
230 ,  0.5489899823378794 ,  2.4414069907575017e-14
