Conc,Temperature
0.7712231194607826 , 250
0.000468661748146759 , 250
0.7505784566922411 , 255
0.0007232575759088558 , 255
0.7375242553358924 , 260
0.0009521553243352561 , 260
0.7195368277839536 , 265
0.0014269692303768176 , 265
0.7075206443673379 , 270
0.000704370445882886 , 270
0.6846645242836544 , 275
0.0010861079529219326 , 275
0.668373284585366 , 280
0.0014984391464706976 , 280
0.6498740079370287 , 285
0.0008416957401478014 , 285
0.6279398163327966 , 290
0.001563685613089119 , 290
0.6103108224785874 , 295
0.0008698548329919486 , 295
0.5889180135474698 , 300
0.0014739274169572937 , 300
0.5737966030139827 , 305
0.002476902572270177 , 305
0.5462294629814393 , 310
0.0025968259621000408 , 310
0.5150659558348974 , 315
0.002855915646450199 , 315
0.490121607315584 , 320
0.0025998646895872726 , 320
0.4715647698804271 , 325
0.0049257619924730645 , 325
0.4260453933212622 , 330
0.008302130163545328 , 330
0.40516034458101574 , 335
0.007180394917192341 , 335
