ConcHigh,ConcLow,Temperature
0.7468181675610456 , 0.0008673295527328595 , 250
0.7274725292852392 , 0.0012211596217326641 , 255
0.7124584773521229 , 0.0005179786839097816 , 260
0.6946150048309703 , 0.0007627110261104162 , 265
0.6799438703637914 , 0.0012541295023563027 , 270
0.6628836083816356 , 0.0006114047952272314 , 275
0.6472185876995733 , 0.0009718710717190715 , 280
0.6260705316917561 , 0.0014645412750820608 , 285
0.6061694961410403 , 0.0009018148469609993 , 290
0.5865595248344291 , 0.0015957068337483936 , 295
0.5653065499915634 , 0.0013573146369872014 , 300
0.5409445729101388 , 0.0009916962063954637 , 305
0.5193808177639553 , 0.0011051361815492607 , 310
0.49139683757943436 , 0.002225499088180095 , 315
0.4420989516806354 , 0.00433731919699656 , 325
0.4127189422639283 , 0.004095082940255049 , 330
