ConcHigh,ConcLow,Temperature
0.8202260618130017 , 0.0015699962978855935 , 250
0.8074841624251345 , 0.0007026255308796644 , 255
0.7867016160174323 , 0.0008759363477841975 , 260
0.7725468726909389 , 0.0012258109372510495 , 265
0.7553754427912736 , 0.0018087651941977104 , 270
0.7416224921297043 , 0.000906140678708052 , 275
0.7255475801193244 , 0.0013136700303659533 , 280
0.707058765846848 , 0.0016851697540713887 , 285
0.6849970670860401 , 0.0010351193107380069 , 290
0.6651266406127764 , 0.0014284931394418254 , 295
0.64521593662168 , 0.0009482239905809062 , 300
0.6167831368302074 , 0.0017901894427454104 , 305
0.5971784382009137 , 0.00112015810426722 , 310
0.5686228724144801 , 0.0010245367734031312 , 315
0.5460520054103088 , 0.0020170254646669724 , 320
0.5167180130116886 , 0.0021025437129336263 , 325
0.49286288038596865 , 0.0019487035381417482 , 330
0.4568938842992016 , 0.004310930744274731 , 335
