ConcHigh,ConcLow,Temperature
0.8047197802603078 , 0.0006949613163906357 , 275
0.7913478120291251 , 0.0009279630541130625 , 280
0.7782273599737467 , 0.001303352589992547 , 285
0.7587192385911592 , 0.0005998103245711878 , 290
0.741886546994381 , 0.0008558785664664038 , 295
0.7313734748370657 , 0.0011555041938886756 , 300
0.7146371871870882 , 0.0016119926783897496 , 305
0.698833205946489 , 0.0009161460573073188 , 310
0.6821897485075246 , 0.0013486409792569458 , 315
0.6669530104024595 , 0.0008155495110748869 , 320
0.645881268438945 , 0.0010950636198340563 , 325
0.6289362366863068 , 0.0018718278771570488 , 330
0.6067321342228206 , 0.0019454733825721535 , 335
0.5895787331275764 , 0.001895709883376209 , 340
0.5639337589712887 , 0.0025923216130522126 , 345
0.542205566123106 , 0.0021594312389089806 , 350
0.516617333044792 , 0.002267263150756766 , 355
0.4981839377417858 , 0.003726896184603334 , 360
0.4730149711218171 , 0.0060705070418953415 , 365
0.44041233098217397 , 0.004923253274911597 , 370
