Conc,Temperature
0.7825809510128723 , 250
0.000819282523191106 , 250
0.767096468515458 , 255
0.0011968050405246752 , 255
0.7470725911197204 , 260
0.0004989308084669382 , 260
0.7319936211719423 , 265
0.0008324509538588255 , 265
0.7169067329371684 , 270
0.0011968767011945759 , 270
0.6964080423751104 , 275
0.000600645786002803 , 275
0.6811296612526156 , 280
0.0009196813475049273 , 280
0.6574509531532898 , 285
0.0014763458152326158 , 285
0.6356739723535084 , 290
0.0010741945205603675 , 290
0.6215335104995189 , 295
0.001616807705523889 , 295
0.598364900197487 , 300
0.0012787606014921368 , 300
0.57705101274901 , 305
0.0012493217373670787 , 305
0.5518331480998685 , 310
0.003325733191346573 , 310
0.5287076370664061 , 315
0.0026343080710402728 , 315
0.49966238151920633 , 320
0.002229756912816084 , 320
0.46867843374854257 , 325
0.004597437950542563 , 325
