ConcHigh,ConcLow,Temperature
0.7914600649975001 , 0.00048391280300707254 , 250
0.7793033995151021 , 0.0006918256628941852 , 255
0.7587356589179227 , 0.0009397542958459671 , 260
0.7370516197518395 , 0.001364535042041223 , 265
0.7241620042780615 , 0.0006909811713809347 , 270
0.7094417672034096 , 0.0009264253787390342 , 275
0.690802171769703 , 0.0013620266028429684 , 280
0.6660948077720729 , 0.0007650940658717494 , 285
0.6497832797096235 , 0.0011683322682936978 , 290
0.6256020561232662 , 0.0008067783558298524 , 295
0.6096132752176197 , 0.001970352182195486 , 300
0.5863725278718159 , 0.0009988071164558116 , 305
0.5689875550350114 , 0.0018316884625869064 , 310
0.5419299554459227 , 0.001917741024036971 , 315
0.4902201434279445 , 0.0033687048930538077 , 325
0.4584604102520901 , 0.003052210202308102 , 330
0.429499279909505 , 0.009343904015595348 , 335
