ConcHigh,ConcLow,Temperature
0.8034306601393703 , 0.0013100622910845819 , 250
0.7893236765352035 , 0.0004620270511176069 , 255
0.7708608112887748 , 0.0007351868331331524 , 260
0.7569674833613259 , 0.0011765848548215333 , 265
0.7424001356045221 , 0.0005269164199704166 , 270
0.7256306266785979 , 0.0007435614972033757 , 275
0.7050606560154279 , 0.0010878265097896702 , 280
0.6886508785379127 , 0.0017073954479037477 , 285
0.670076356708719 , 0.0010411665861804133 , 290
0.6500638135821918 , 0.0015802092053303495 , 295
0.6323008173383494 , 0.0011303179282981632 , 300
0.6132302015843494 , 0.0017554280743142766 , 305
0.5925050856176841 , 0.002157591093545356 , 310
0.5691821606701912 , 0.0023858564099369438 , 315
0.5484189704494884 , 0.0016604775911769965 , 320
0.52390966111406 , 0.0026025384374726893 , 325
