Conc,Temperature
0.7231533150582412 , 250
0.0008165671419919471 , 250
0.7070800842393075 , 255
0.0009105087363299066 , 255
0.6904003767390374 , 260
0.0017117948261052693 , 260
0.6693481739109279 , 265
0.0009505905179349619 , 265
0.6523369986331029 , 270
0.0014727647275415813 , 270
0.6261200425842557 , 275
0.001037768985687199 , 275
0.6024552947280911 , 280
0.0019477933210508265 , 280
0.5857549994888335 , 285
0.0012050792404072169 , 285
0.558187968931873 , 290
0.0019941706122606107 , 290
0.534123224702719 , 295
0.0016625889530194542 , 295
0.5117265037546413 , 300
0.0016466689594840035 , 300
0.47122566396433185 , 305
0.0031309216486497204 , 305
