ConcHigh,ConcLow,Temperature
0.6820708772186357 , 0.0005596080157782045 , 250
0.6655019829087556 , 0.0008777927007860693 , 255
0.6412971890626923 , 0.001557591610849466 , 260
0.6213985918872351 , 0.0009430408261793143 , 265
0.5979059589200693 , 0.000714554784449748 , 270
0.5773108279109257 , 0.0012373700144651608 , 275
0.5525961051169822 , 0.0025996157469808656 , 280
0.5264764101057159 , 0.0016588206288939518 , 285
0.5029263057025719 , 0.004108828948530777 , 290
0.47683532336520473 , 0.002625245542032621 , 295
0.44786275756203975 , 0.005685458477225782 , 300
