ConcHigh,ConcLow,Temperature
0.749832360768917 , 0.0014367859950821839 , 260
0.73471514265008 , 0.0006180703811457621 , 265
0.7198845223387765 , 0.0009726825948320252 , 270
0.7010496353784609 , 0.0015577430354678657 , 275
0.679808197505995 , 0.0009640456659271945 , 280
0.6616150416002269 , 0.00144700965356013 , 285
0.6439389470656349 , 0.0009780398970525267 , 290
0.6266832025689483 , 0.001449757403626479 , 295
0.6040477604965782 , 0.0011305031274552106 , 300
0.583780797531235 , 0.0009181570472014777 , 305
0.5546287207232551 , 0.002657198102067463 , 310
0.5308650993649375 , 0.001253275994671356 , 315
0.5061029064959345 , 0.0023926116904086 , 320
0.48128259380927274 , 0.0037760323170694943 , 325
0.4517777426525204 , 0.005075055080105268 , 330
