Temperature,ConcLow,ConcHigh
235 ,  0.6515462477643152 ,  2.9882534019115965e-18
260 ,  0.5466897285903184 ,  5.982242198774561e-18
270 ,  0.5076505344971853 ,  2.3867672907598855e-17
245 ,  0.6201798028950043 ,  2.9842967862945905e-18
255 ,  0.5642758761750339 ,  6.0082970124847636e-18
250 ,  0.5913043066022797 ,  1.5186615383474503e-18
240 ,  0.6325007950595216 ,  2.977335196348875e-18
275 ,  0.4684651389165512 ,  1.2350409836064922e-07
265 ,  0.5167988141156997 ,  4.7660708096944516e-17
230 ,  0.6787611028867189 ,  1.1943808428443243e-17
