Temperature,ConcLow,ConcHigh
320 ,  0.35485838495286043 ,  3.12793850877193e-05
330 ,  0.2990931948337627 ,  0.012831373414947368
290 ,  0.5084620712237014 ,  4.7658827017116776e-17
305 ,  0.4330756436424011 ,  8.598848208333292e-06
315 ,  0.3808535072427139 ,  5.5632106146551684e-05
340 ,  0.2481320518982406 ,  0.0658086501413108
310 ,  0.4083322092412719 ,  0.001143064171444915
300 ,  0.4640252410937978 ,  5.582795416666682e-07
295 ,  0.4874566342559439 ,  1.0927195833335402e-07
335 ,  0.2636292199899033 ,  0.021438976586267366
325 ,  0.3242899575261983 ,  0.0025233201197725798
