Temperature,ConcLow,ConcHigh
300 ,  0.5221451579135971 ,  1.9077078365406068e-16
310 ,  0.4911129856858703 ,  5.021058666666654e-06
295 ,  0.5537090733420066 ,  4.771362158876711e-17
325 ,  0.40801478783434086 ,  4.771929322093024e-05
335 ,  0.3595024798121058 ,  0.0006713227934500001
330 ,  0.3874767937401066 ,  9.080748425000006e-05
320 ,  0.4455643550422259 ,  2.4419116261627934e-05
290 ,  0.5734985491574828 ,  4.768662369230958e-17
315 ,  0.4559492530817637 ,  8.371800291666661e-06
305 ,  0.5053425232651297 ,  2.0459579166669659e-07
340 ,  0.31426240560398727 ,  0.002621890082596154
350 ,  0.28521134408670484 ,  0.0488190694807973
