Temperature,ConcLow,ConcHigh
250 ,  0.4078919854533199 ,  0.009815817807135417
240 ,  0.4750401765113168 ,  0.0041522530724
215 ,  0.6176899224781667 ,  1.2207102583867923e-14
220 ,  0.5936357933534853 ,  1.024460366955009e-07
230 ,  0.534578698710061 ,  0.0009887544175500001
235 ,  0.5033315559360715 ,  0.0002997587439215685
225 ,  0.5669842032161082 ,  2.581669558865208e-05
210 ,  0.6404581624166445 ,  2.441394909323554e-14
200 ,  0.6847136961036965 ,  1.2206990391203854e-14
245 ,  0.43744447397720354 ,  0.00503438584275
