Temperature,ConcLow,ConcHigh
240 ,  0.5079123169552003 ,  0.00013324654387755096
250 ,  0.45119658065153295 ,  0.0021219493259782606
215 ,  0.6328031564418848 ,  8.849852941242429e-09
265 ,  0.34300247097010583 ,  0.0119060850208125
230 ,  0.5594668109180042 ,  6.020984336734596e-06
220 ,  0.6117622735079269 ,  2.4414036723283008e-14
225 ,  0.5849944634960369 ,  3.8858033033853576e-07
235 ,  0.5438379960105019 ,  0.0003987322064215688
260 ,  0.3690132064391422 ,  0.019473136387010866
200 ,  0.6992673922828544 ,  1.2207086392772898e-14
210 ,  0.6559529989621447 ,  2.2420343129390214e-09
255 ,  0.40766910647224963 ,  0.003515863721141304
245 ,  0.4782027349327006 ,  0.00010048173833333344
