Temperature,ConcLow,ConcHigh
250 ,  0.46702421470678696 ,  0.005828834556911764
240 ,  0.5237329329828835 ,  6.7235174711609435e-06
215 ,  0.6500777441043815 ,  5.509124512838723e-10
265 ,  0.33910265377176363 ,  0.018146828471436168
220 ,  0.626525838027575 ,  1.933917244897457e-09
230 ,  0.5810936075572924 ,  2.4414117735897952e-14
235 ,  0.5487312038830076 ,  0.00023754583807399386
225 ,  0.6083805275400895 ,  2.4414043173904012e-14
260 ,  0.395030564121122 ,  0.006371374048478261
210 ,  0.6707530078597125 ,  3.3413130431645654e-09
200 ,  0.7135741785734072 ,  2.4414256029120085e-14
245 ,  0.4957848269323989 ,  0.0005059243788499999
255 ,  0.4428661711336481 ,  0.0034260982623039215
