Temperature,ConcLow,ConcHigh
265 ,  0.2501858849356002 ,  0.022220486059193557
230 ,  0.5554750528765557 ,  0.0022265595039285715
220 ,  0.6111735668522724 ,  4.4668842109345836e-07
240 ,  0.4953205970209204 ,  0.00010782730005102043
250 ,  0.43546828626731865 ,  0.0019076227356632652
215 ,  0.6367898202975167 ,  1.2023194332520831e-07
200 ,  0.7080233826127558 ,  1.2207161167314052e-14
210 ,  0.6618805723869471 ,  2.4414128308887116e-14
245 ,  0.4689275912869652 ,  0.0031631732240425536
225 ,  0.5848424512585974 ,  3.176109100021173e-06
235 ,  0.528961630865658 ,  3.951708904579581e-06
260 ,  0.34770601233392306 ,  0.02065080444882653
