Temperature,ConcLow,ConcHigh
260 ,  0.40592155413622105 ,  0.00451724703484375
235 ,  0.5686736899332664 ,  3.139752450980013e-07
225 ,  0.6149493280346289 ,  2.995165094322208e-09
245 ,  0.5127312729511435 ,  0.00045515577453125006
255 ,  0.44719953553705805 ,  0.004097507952295919
210 ,  0.6792195594578326 ,  6.103548772305378e-15
200 ,  0.7198254072742108 ,  1.561766449314613e-10
215 ,  0.649911073034602 ,  2.4414028372395293e-14
250 ,  0.48135916373804183 ,  0.00360971310485
240 ,  0.5405443327433896 ,  0.001585639362598039
220 ,  0.635349035304007 ,  2.441406878700818e-14
230 ,  0.5895664297539628 ,  2.4414077429740348e-14
265 ,  0.3719591877759618 ,  0.005999729068858695
