Temperature,ConcLow,ConcHigh
245 ,  0.46552628670957047 ,  2.4685187193877388e-05
255 ,  0.3940125701347682 ,  0.005562676113177083
210 ,  0.650628902405045 ,  1.2181033334392829e-09
200 ,  0.6985289915144646 ,  1.2206949425823986e-14
260 ,  0.35023510674153374 ,  0.011607955947135417
235 ,  0.5207940043781055 ,  9.743270408180503e-08
225 ,  0.58006134336925 ,  3.1479589581831325e-08
220 ,  0.609180605407955 ,  5.794855864141515e-08
230 ,  0.5579405516258163 ,  2.3761506427822206e-09
215 ,  0.6365225262640014 ,  4.8828256331685236e-14
250 ,  0.440168759541177 ,  0.0013820465899999999
240 ,  0.48980295320602296 ,  1.6842066754284162e-06
