ConcHigh,ConcLow,Temperature
0.7588255132326545 , 0.0009302390349199345 , 250
0.7414859192306222 , 0.001307953199105647 , 255
0.7213837086129674 , 0.0007134021518167571 , 260
0.7027854937126748 , 0.0009543990205087526 , 265
0.6806097170340397 , 0.0013572746004171694 , 270
0.6670032302092438 , 0.0008374045739226117 , 275
0.6436132855912904 , 0.0012839439994919888 , 280
0.622524305856689 , 0.0009209941113862457 , 285
0.6001233093917786 , 0.0013419424394290036 , 290
0.5751362705930086 , 0.0012535434203410824 , 295
0.5494337384572253 , 0.002055366118829154 , 300
0.5198939661127032 , 0.0021992458202040478 , 305
0.4878704017428705 , 0.003146966356189132 , 310
0.4692626980963572 , 0.004011770336266335 , 315
0.4334537164419799 , 0.005938276925541343 , 320
