ConcHigh,ConcLow,Temperature
0.7784300954990743 , 0.0009702162186473918 , 250
0.7659593340003942 , 0.001393805771688702 , 255
0.7489164598673008 , 0.0005971474878508191 , 260
0.737774149764976 , 0.0008435218506853325 , 265
0.7197139133190917 , 0.0012525659384488136 , 270
0.7069591286519691 , 0.0006239305287709145 , 275
0.6898166666568489 , 0.0008813411299743725 , 280
0.6733866461957311 , 0.0012943258052638441 , 285
0.6520354485986164 , 0.0007246983125923061 , 290
0.635692474353981 , 0.0010360860178291627 , 295
0.6152058840466453 , 0.0018135461632478196 , 300
0.5948260341293 , 0.0018989016816449563 , 305
0.5734155824887617 , 0.0010221630756773366 , 310
0.5522192026426294 , 0.0016408905801962828 , 315
0.5265275870843318 , 0.00222342485139494 , 320
0.49551911521976705 , 0.002748520638576474 , 325
0.4781601880841326 , 0.0044116632173649304 , 330
0.4574189018594928 , 0.00624213971488311 , 335
