ConcHigh,ConcLow,Temperature
0.7462133124139966 , 0.0008091586385384956 , 250
0.7296701419114857 , 0.0011052863790138785 , 255
0.712042457657539 , 0.0006134197117556469 , 260
0.6896179470524159 , 0.0008335899103147221 , 265
0.6764843094329815 , 0.0013809707110025925 , 270
0.6548956290326452 , 0.0007545096783881102 , 275
0.6370277841058718 , 0.0012041725792598136 , 280
0.6166285340762904 , 0.0007780577423340282 , 285
0.593815239729296 , 0.001728668230724219 , 290
0.5712077010465489 , 0.0011241390069998188 , 295
0.5529451279947044 , 0.001334770806436366 , 300
0.5236918490447271 , 0.0027380093780077102 , 305
0.5034441555610064 , 0.0025702645225041095 , 310
0.4740068380230372 , 0.0035125077369137017 , 315
0.4390676253919171 , 0.006008725874679054 , 320
0.39931542179616336 , 0.013300997244660813 , 325
