ConcHigh,ConcLow,Temperature
0.7349100737864948 , 0.001167091163265651 , 270
0.7260788746124341 , 0.0005539351451959177 , 275
0.7049314394815127 , 0.0010779607902796258 , 280
0.6863193623620882 , 0.00144961349275483 , 285
0.6701804956951126 , 0.0008278791912433726 , 290
0.6537867970016842 , 0.0012368551884527834 , 295
0.6335722763464443 , 0.0008154865171670463 , 300
0.6126216509856246 , 0.0028995804310736895 , 305
0.5952169709931799 , 0.0019136566169983182 , 310
0.574058313849191 , 0.0016424802642569867 , 315
0.5515777137041173 , 0.0016964050901719869 , 320
0.5288500218139932 , 0.003144705071273277 , 325
0.5069438460343931 , 0.0023010361666310837 , 330
0.47948313876243304 , 0.0033129963574541426 , 335
0.4460442562743037 , 0.009903397680185458 , 340
0.4211520925872178 , 0.007769244366855599 , 345
