Conc,Temperature
0.7448071715549845 , 250
0.000592047198043939 , 250
0.7287389842349015 , 255
0.00085509485048152 , 255
0.711375822191451 , 260
0.0013794515362717517 , 260
0.6931096867548703 , 265
0.0006533232706412291 , 265
0.6723730922327349 , 270
0.0010668711906888042 , 270
0.655631506956208 , 275
0.0015729542981907216 , 275
0.6349140865014753 , 280
0.0009249754163600903 , 280
0.6180626068072257 , 285
0.0016114638264083977 , 285
0.5756132884458015 , 295
0.0018004712997867055 , 295
0.5502407238642367 , 300
0.0024671541107824033 , 300
0.5271921232167668 , 305
0.0015856134214208238 , 305
0.5025987788348195 , 310
0.0030047417670668116 , 310
0.4811063002498205 , 315
0.0033929743299754614 , 315
0.4404878834104868 , 320
0.00469311610666326 , 320
0.4157086696591261 , 325
0.005137987467989453 , 325
