ConcHigh,ConcLow,Temperature
0.6884378933395143 , 0.0009987878435700952 , 250
0.6617069986966594 , 0.0014732223582326895 , 255
0.6391755463917673 , 0.0010335511058234355 , 260
0.6212384975219343 , 0.0016352727887657692 , 265
0.5981586308511874 , 0.001045760964942515 , 270
0.5689104870639344 , 0.0009028859722649489 , 275
0.5445099002830077 , 0.001990462293046937 , 280
0.5183757040434747 , 0.001725453219559862 , 285
0.4873368729288995 , 0.0018763185652157007 , 290
0.4495830456382817 , 0.002929623971496744 , 295
