Temperature,ConcLow,ConcHigh
325 ,  0.5857076724087908 ,  1.001025510205341e-07
335 ,  0.5415553593007636 ,  0.005538649929361702
360 ,  0.41411566898553254 ,  0.011611980065255103
355 ,  0.43611295986553444 ,  0.0053678548251041664
345 ,  0.48992867880711316 ,  0.0003467062219148937
340 ,  0.514238985711387 ,  4.894788546875015e-05
350 ,  0.4653845834631582 ,  0.0027049338767391306
365 ,  0.39078549630526727 ,  0.00875282336738372
330 ,  0.57080946296262 ,  4.882816198725334e-14
320 ,  0.6087682226410466 ,  0.002899113465816327
