Temperature,ConcLow,ConcHigh
340 ,  0.49308453240717154 ,  0.013668718691666666
350 ,  0.4431160130340261 ,  0.0051318069978409115
330 ,  0.5431816435269925 ,  0.0016480219214893618
320 ,  0.592962113758096 ,  0.0007841559637755102
365 ,  0.34848689291691054 ,  0.02788486526284079
370 ,  0.3209568840218778 ,  0.06523049194830845
360 ,  0.37885759677478126 ,  0.014674463124318183
325 ,  0.5696079474624456 ,  2.157928224165819e-08
335 ,  0.5223580482325522 ,  0.003549646827708333
355 ,  0.39662779068565013 ,  0.00835690942472826
345 ,  0.46020432009558243 ,  0.0008863446164673914
