Temperature,ConcLow,ConcHigh
365 ,  0.4005149569290626 ,  0.0151806788933
375 ,  0.3104736739526057 ,  0.03003429886278409
330 ,  0.5858441721574279 ,  3.446320114486651e-08
320 ,  0.6168635001475136 ,  6.012602040803856e-08
340 ,  0.5418569213126053 ,  2.1673815221227796e-07
350 ,  0.4927647428071574 ,  0.0004021852493617019
355 ,  0.4576252320005887 ,  0.0011723843972826088
345 ,  0.515675569491125 ,  0.004222955330364583
325 ,  0.599119454952712 ,  3.388305905417267e-09
335 ,  0.5548024444669641 ,  1.4975071382990344e-05
370 ,  0.34632802442297844 ,  0.018157846155765305
360 ,  0.44265024353235066 ,  0.006844423291793478
