Temperature,ConcLow,ConcHigh
315 ,  0.43745055400635396 ,  1.5754593409090893e-05
305 ,  0.49887286193046115 ,  8.442125000003603e-08
330 ,  0.3689950476696438 ,  0.005419127740674419
320 ,  0.42861468965265825 ,  1.6108417045453672e-06
325 ,  0.40575750180472203 ,  8.779589511111107e-05
335 ,  0.36078749991177606 ,  0.0017872757051071427
295 ,  0.5449649246268911 ,  2.441412761792537e-14
300 ,  0.5307334276296752 ,  2.4414008651555274e-14
310 ,  0.4772226644663033 ,  4.927288888886627e-07
345 ,  0.28644579725831254 ,  0.018522639049839744
