Temperature,ConcLow,ConcHigh
280 ,  0.48548521501765135 ,  4.882811274493098e-14
290 ,  0.4424983901995256 ,  2.6927960852272643e-05
275 ,  0.4846521646036592 ,  4.882811078678399e-14
265 ,  0.5620897625079966 ,  2.441406651473946e-14
260 ,  0.5852725857623013 ,  2.4414133353290568e-14
270 ,  0.540114189350367 ,  2.4414099805134646e-14
310 ,  0.29910559512547746 ,  0.013307708179083335
300 ,  0.36539292753807684 ,  0.003333894408464286
245 ,  0.6507046026482289 ,  2.441398003464497e-14
255 ,  0.6032970903119506 ,  2.4414056622783005e-14
